Descricao,Categoria,Tipo
CONTA DE GAS COMGAS,Moradia,debito
CONTA INTERNET VIVO,Moradia,debito
CONTA INTERNET CLARO,Moradia,debito
CONTA TELEFONE TIM,Moradia,debito
CONTA VIVO FIBRA,Moradia,debito
CONTA ENERGIA ELEKTRO,Moradia,debito
PAGAMENTO SALDO CARTAO VISA,Cartão de Crédito,debito
PAGAMENTO SALDO CARTAO MASTERCARD,Cartão de Crédito,debito
PAGAMENTO FATURA CARTAO ITAU,Cartão de Crédito,debito
PAGAMENTO FATURA CARTAO SANTANDER,Cartão de Crédito,debito
ANUIDADE CARTÃO,Cartão de Crédito,debito
IOF CARTÃO,Cartão de Crédito,debito
TARIFA BANCÁRIA,Cartão de Crédito,debito
IPHONE LOJA APPLE,Eletrônicos,debito
NOTEBOOK LOJA DELL,Eletrônicos,debito
FONE DE OUVIDO LOJA SONY,Eletrônicos,debito
TABLET LOJA SAMSUNG,Eletrônicos,debito
CURSO UDEMY,Educacao,debito
CURSO ALURA,Educacao,debito
FACULDADE ESTÁCIO,Educacao,debito
ESCOLA DE IDIOMAS WIZARD,Educacao,debito
LIVRARIA CULTURA,Educacao,debito
CINEMA CINEMARK,Lazer,debito
SHOW EVENTIM,Lazer,debito
TEATRO MUNICIPAL,Lazer,debito
PAGAMENTO HBO MAX,Assinaturas,debito
IMPOSTO INSS,Impostos,debito
IMPOSTO FGTS,Impostos,debito
IMPOSTO DARF,Impostos,debito
IMPOSTO IPTU,Impostos,debito
IMPOSTO IPVA,Impostos,debito
TRANSFERENCIA ITAU,Transferências,debito
TRANSFERENCIA ITAU,Transferências,credito
TRANSFERENCIA BRADESCO,Transferências,debito
TRANSFERENCIA BRADESCO,Transferências,credito
PIX MARIA,Transferências,debito
PIX MARIA,Transferências,credito
PIX JOÃO,Transferências,debito
PIX JOÃO,Transferências,credito
PIX ANA,Transferências,debito
PIX ANA,Transferências,credito
DEPÓSITO JOÃO,Receita,credito
DEPÓSITO JOÃO,Receita,debito
AJUDA FAMILIAR,Receita,credito
AJUDA FAMILIAR,Receita,debito
FREELANCE PROJETO XYZ,Receita,credito
FREELANCE PROJETO XYZ,Receita,debito
VENDA MERCADO LIVRE,Receita,credito
VENDA MERCADO LIVRE,Receita,debito
SUPERMERCADO PÃO DE AÇÚCAR,Alimentação,debito
SUPERMERCADO PÃO DE AÇÚCAR,Alimentação,credito
PADARIA SANTA CLARA,Alimentação,debito
PADARIA SANTA CLARA,Alimentação,credito
RESTAURANTE PIZZA HUT,Alimentação,debito
RESTAURANTE PIZZA HUT,Alimentação,credito
UBER VIAGEM,Transporte,debito
UBER VIAGEM,Transporte,credito
99 VIAGEM,Transporte,debito
99 VIAGEM,Transporte,credito
METRÔ SÃO PAULO,Transporte,debito
METRÔ SÃO PAULO,Transporte,credito
ÔNIBUS SPTRANS,Transporte,debito
ÔNIBUS SPTRANS,Transporte,credito
COMBUSTIVEL POSTO SHELL,Transporte,debito
COMBUSTIVEL POSTO SHELL,Transporte,credito
ESTACIONAMENTO SHOPPING,Transporte,debito
ESTACIONAMENTO SHOPPING,Transporte,credito
PAGAMENTO NETFLIX,Assinaturas,debito
PAGAMENTO NETFLIX,Assinaturas,credito
PAGAMENTO SPOTIFY,Assinaturas,debito
PAGAMENTO SPOTIFY,Assinaturas,credito
FARMACIA DROGASIL,Saúde,debito
FARMACIA DROGASIL,Saúde,credito
ALUGUEL APARTAMENTO,Moradia,debito
ALUGUEL APARTAMENTO,Moradia,credito
PAGAMENTO CONDOMINIO,Moradia,debito
PAGAMENTO CONDOMINIO,Moradia,credito
CONTA DE LUZ ENEL,Moradia,debito
CONTA DE LUZ ENEL,Moradia,credito
PAGAMENTO SALDO CARTAO VISA,Cartão de Crédito,debito
PAGAMENTO SALDO CARTAO VISA,Cartão de Crédito,credito
IPHONE LOJA APPLE,Eletrônicos,debito
IPHONE LOJA APPLE,Eletrônicos,credito
CURSO UDEMY,Educacao,debito
CURSO UDEMY,Educacao,credito
CINEMA CINEMARK,Lazer,debito
CINEMA CINEMARK,Lazer,credito
IMPOSTO INSS,Impostos,debito
IMPOSTO INSS,Impostos,credito
TRANSFERENCIA ITAU,Transferências,debito
TRANSFERENCIA ITAU,Transferências,credito
PIX MARIA,Transferências,debito
PIX MARIA,Transferências,credito
DEPÓSITO JOÃO,Receita,credito
DEPÓSITO JOÃO,Receita,debito
FREELANCE PROJETO XYZ,Receita,credito
FREELANCE PROJETO XYZ,Receita,debito
VENDA MERCADO LIVRE,Receita,credito
VENDA MERCADO LIVRE,Receita,debito
SUPERMERCADO PÃO DE AÇÚCAR,Alimentação,debito
SUPERMERCADO PÃO DE AÇÚCAR,Alimentação,credito
PADARIA SANTA CLARA,Alimentação,debito
PADARIA SANTA CLARA,Alimentação,credito
RESTAURANTE PIZZA HUT,Alimentação,debito
RESTAURANTE PIZZA HUT,Alimentação,credito
UBER VIAGEM,Transporte,debito
UBER VIAGEM,Transporte,credito
99 VIAGEM,Transporte,debito
99 VIAGEM,Transporte,credito
METRÔ SÃO PAULO,Transporte,debito
METRÔ SÃO PAULO,Transporte,credito
ÔNIBUS SPTRANS,Transporte,debito
ÔNIBUS SPTRANS,Transporte,credito
COMBUSTIVEL POSTO SHELL,Transporte,debito
COMBUSTIVEL POSTO SHELL,Transporte,credito
ESTACIONAMENTO SHOPPING,Transporte,debito
ESTACIONAMENTO SHOPPING,Transporte,credito
PAGAMENTO NETFLIX,Assinaturas,debito
PAGAMENTO NETFLIX,Assinaturas,credito
PAGAMENTO SPOTIFY,Assinaturas,debito
PAGAMENTO SPOTIFY,Assinaturas,credito
FARMACIA DROGASIL,Saúde,debito
FARMACIA DROGASIL,Saúde,credito
ALUGUEL APARTAMENTO,Moradia,debito
ALUGUEL APARTAMENTO,Moradia,credito
PAGAMENTO CONDOMINIO,Moradia,debito
PAGAMENTO CONDOMINIO,Moradia,credito
CONTA DE LUZ ENEL,Moradia,debito
CONTA DE LUZ ENEL,Moradia,credito
PAGAMENTO SALDO CARTAO VISA,Cartão de Crédito,debito
PAGAMENTO SALDO CARTAO VISA,Cartão de Crédito,credito
IPHONE LOJA APPLE,Eletrônicos,debito
IPHONE LOJA APPLE,Eletrônicos,credito
CURSO UDEMY,Educacao,debito
CURSO UDEMY,Educacao,credito
CINEMA CINEMARK,Lazer,debito
CINEMA CINEMARK,Lazer,credito
IMPOSTO INSS,Impostos,debito
IMPOSTO INSS,Impostos,credito
OUTROS AJUSTES,Outros,debito
OUTROS AJUSTES,Outros,credito
SALDO CARTAO MASTERCARD,Outros,credito
SALDO CARTAO MASTERCARD,Outros,debito
